Filename,Sample_ID,Species,Dev_stage,Sex,Age,Phenotype,Tissue,Tissue_complete,Collected_by,Collection_date,Biomaterial_provider,Geographic_location,Ecotype,Body_mass,Testes_mass,Bird_ID,Gonadosomatic_index,Sample_Type,Batch,Seq_provider,Lib_prep,Lib_kit,Seq_prep,Seq_kit,Lib_size,RIN
s1311_I_ADR_01_R1.gz,s1311_I_ADR_01,Calidris pugnax,Adult,Male,3,Independent,Adr,Adrenal glands,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,175.4,3.75,1311,2.14,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),39410971,9.1
s1311_I_ADR_01_R2.gz,s1311_I_ADR_01,Calidris pugnax,Adult,Male,3,Independent,Adr,Adrenal glands,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,175.4,3.75,1311,2.14,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),39410971,9.1
s1311_I_GON_01_R1.gz,s1311_I_GON_01,Calidris pugnax,Adult,Male,3,Independent,Gon,Male gonads (testes),Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,175.4,3.75,1311,2.14,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),39763237,7.7
s1311_I_GON_01_R2.gz,s1311_I_GON_01,Calidris pugnax,Adult,Male,3,Independent,Gon,Male gonads (testes),Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,175.4,3.75,1311,2.14,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),39763237,7.7
s1311_I_PIT_01_R1.gz,s1311_I_PIT_01,Calidris pugnax,Adult,Male,3,Independent,Pit,Pituitary gland,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,175.4,3.75,1311,2.14,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),34863371,NA
s1311_I_PIT_01_R2.gz,s1311_I_PIT_01,Calidris pugnax,Adult,Male,3,Independent,Pit,Pituitary gland,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,175.4,3.75,1311,2.14,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),34863371,NA
s1312_I_ADR_01_R1.gz,s1312_I_ADR_01,Calidris pugnax,Adult,Male,3,Independent,Adr,Adrenal glands,Jasmine L. Loveland,6/11/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,169.1,2.9,1312,1.71,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),38586449,9.2
s1312_I_ADR_01_R2.gz,s1312_I_ADR_01,Calidris pugnax,Adult,Male,3,Independent,Adr,Adrenal glands,Jasmine L. Loveland,6/11/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,169.1,2.9,1312,1.71,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),38586449,9.2
s1312_I_PIT_01_R1.gz,s1312_I_PIT_01,Calidris pugnax,Adult,Male,3,Independent,Pit,Pituitary gland,Jasmine L. Loveland,6/11/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,169.1,2.9,1312,1.71,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),30393322,NA
s1312_I_PIT_01_R2.gz,s1312_I_PIT_01,Calidris pugnax,Adult,Male,3,Independent,Pit,Pituitary gland,Jasmine L. Loveland,6/11/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,169.1,2.9,1312,1.71,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),30393322,NA
s1319_F_BLO_01_R1.gz,s1319_F_BLO_01,Calidris pugnax,Adult,Male,4,Faeder,Blo,Blood,Jasmine L. Loveland,6/7/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,136.63,3.67,1319,2.69,Total RNA,5,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),52999878,6.3
s1319_F_BLO_01_R2.gz,s1319_F_BLO_01,Calidris pugnax,Adult,Male,4,Faeder,Blo,Blood,Jasmine L. Loveland,6/7/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,136.63,3.67,1319,2.69,Total RNA,5,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),52999878,6.3
s1319_F_GON_01_R1.gz,s1319_F_GON_01,Calidris pugnax,Adult,Male,4,Faeder,Gon,Male gonads (testes),Jasmine L. Loveland,6/7/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,136.63,3.67,1319,2.69,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),30594729,NA
s1319_F_GON_01_R2.gz,s1319_F_GON_01,Calidris pugnax,Adult,Male,4,Faeder,Gon,Male gonads (testes),Jasmine L. Loveland,6/7/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,136.63,3.67,1319,2.69,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),30594729,NA
s1319_F_PIT_01_R1.gz,s1319_F_PIT_01,Calidris pugnax,Adult,Male,4,Faeder,Pit,Pituitary gland,Jasmine L. Loveland,6/7/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,136.63,3.67,1319,2.69,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),34472534,NA
s1319_F_PIT_01_R2.gz,s1319_F_PIT_01,Calidris pugnax,Adult,Male,4,Faeder,Pit,Pituitary gland,Jasmine L. Loveland,6/7/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,136.63,3.67,1319,2.69,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),34472534,NA
s1321_S_ADR_02_R1.gz,s1321_S_ADR_02,Calidris pugnax,Adult,Male,3,Satellite,Adr,Adrenal glands,Jasmine L. Loveland,6/15/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,167.8,2.94,1321,1.75,Total RNA,1,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),37565439,8.2
s1321_S_ADR_02_R2.gz,s1321_S_ADR_02,Calidris pugnax,Adult,Male,3,Satellite,Adr,Adrenal glands,Jasmine L. Loveland,6/15/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,167.8,2.94,1321,1.75,Total RNA,1,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),37565439,8.2
s1321_S_GON_01_R1.gz,s1321_S_GON_01,Calidris pugnax,Adult,Male,3,Satellite,Gon,Male gonads (testes),Jasmine L. Loveland,6/15/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,167.8,2.94,1321,1.75,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),44068793,7.1
s1321_S_GON_01_R2.gz,s1321_S_GON_01,Calidris pugnax,Adult,Male,3,Satellite,Gon,Male gonads (testes),Jasmine L. Loveland,6/15/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,167.8,2.94,1321,1.75,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),44068793,7.1
s1321_S_LIV_01_R1.gz,s1321_S_LIV_01,Calidris pugnax,Adult,Male,3,Satellite,Liv,Liver,Jasmine L. Loveland,6/15/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,167.8,2.94,1321,1.75,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),44694714,7.6
s1321_S_LIV_01_R2.gz,s1321_S_LIV_01,Calidris pugnax,Adult,Male,3,Satellite,Liv,Liver,Jasmine L. Loveland,6/15/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,167.8,2.94,1321,1.75,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),44694714,7.6
s1321_S_PIT_01_R1.gz,s1321_S_PIT_01,Calidris pugnax,Adult,Male,3,Satellite,Pit,Pituitary gland,Jasmine L. Loveland,6/15/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,167.8,2.94,1321,1.75,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),35431019,9.2
s1321_S_PIT_01_R2.gz,s1321_S_PIT_01,Calidris pugnax,Adult,Male,3,Satellite,Pit,Pituitary gland,Jasmine L. Loveland,6/15/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,167.8,2.94,1321,1.75,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),35431019,9.2
s1323_I_BLO_01_R1.gz,s1323_I_BLO_01,Calidris pugnax,Adult,Male,4,Independent,Blo,Blood,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,5,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),48494451,5.8
s1323_I_BLO_01_R2.gz,s1323_I_BLO_01,Calidris pugnax,Adult,Male,4,Independent,Blo,Blood,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,5,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),48494451,5.8
s1323_I_GON_01_R1.gz,s1323_I_GON_01,Calidris pugnax,Adult,Male,4,Independent,Gon,Male gonads (testes),Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),40854263,9.5
s1323_I_GON_01_R2.gz,s1323_I_GON_01,Calidris pugnax,Adult,Male,4,Independent,Gon,Male gonads (testes),Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),40854263,9.5
s1323_I_HYP_02_R1.gz,s1323_I_HYP_02,Calidris pugnax,Adult,Male,4,Independent,Hyp,Hypothalamus,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,3,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),38716835,8.2
s1323_I_HYP_02_R2.gz,s1323_I_HYP_02,Calidris pugnax,Adult,Male,4,Independent,Hyp,Hypothalamus,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,3,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),38716835,8.2
s1323_I_LS_02_R1.gz,s1323_I_LS_02,Calidris pugnax,Adult,Male,4,Independent,LS,Lateral septum,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,3,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),26603161,7.6
s1323_I_LS_02_R2.gz,s1323_I_LS_02,Calidris pugnax,Adult,Male,4,Independent,LS,Lateral septum,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,3,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),26603161,7.6
s1323_I_NC_02_R1.gz,s1323_I_NC_02,Calidris pugnax,Adult,Male,4,Independent,NC,Caudal nidopallium,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,3,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),22728985,8
s1323_I_NC_02_R2.gz,s1323_I_NC_02,Calidris pugnax,Adult,Male,4,Independent,NC,Caudal nidopallium,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,3,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),22728985,8
s1323_I_PIT_01_R1.gz,s1323_I_PIT_01,Calidris pugnax,Adult,Male,4,Independent,Pit,Pituitary gland,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),21314137,NA
s1323_I_PIT_01_R2.gz,s1323_I_PIT_01,Calidris pugnax,Adult,Male,4,Independent,Pit,Pituitary gland,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),21314137,NA
s1323_I_POA_02_R1.gz,s1323_I_POA_02,Calidris pugnax,Adult,Male,4,Independent,POM,Medial preoptic area,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,3,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),28154124,8
s1323_I_POA_02_R2.gz,s1323_I_POA_02,Calidris pugnax,Adult,Male,4,Independent,POM,Medial preoptic area,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,3,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),28154124,8
s1323_I_RAP_03_R1.gz,s1323_I_RAP_03,Calidris pugnax,Adult,Male,4,Independent,Rap,Raphe,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,4,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),30878787,8.2
s1323_I_RAP_03_R2.gz,s1323_I_RAP_03,Calidris pugnax,Adult,Male,4,Independent,Rap,Raphe,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,4,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),30878787,8.2
s1323_I_TNA_03_R1.gz,s1323_I_TNA_03,Calidris pugnax,Adult,Male,4,Independent,A+TnA,Nucleus taeniae of the amygdala and arcopallium,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,4,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),32779362,7.6
s1323_I_TNA_03_R2.gz,s1323_I_TNA_03,Calidris pugnax,Adult,Male,4,Independent,A+TnA,Nucleus taeniae of the amygdala and arcopallium,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,4,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),32779362,7.6
s1323_I_VTA_03_R1.gz,s1323_I_VTA_03,Calidris pugnax,Adult,Male,4,Independent,VTA+SN,Ventral tegmental area and substantia nigra,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,4,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),31491932,8.1
s1323_I_VTA_03_R2.gz,s1323_I_VTA_03,Calidris pugnax,Adult,Male,4,Independent,VTA+SN,Ventral tegmental area and substantia nigra,Jasmine L. Loveland,6/9/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.58,2.53,1323,1.5,Total RNA,4,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),31491932,8.1
s1324_S_BLO_01_R1.gz,s1324_S_BLO_01,Calidris pugnax,Adult,Male,4,Satellite,Blo,Blood,Jasmine L. Loveland,6/8/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,175.34,3.48,1324,1.98,Total RNA,5,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),41553863,5.5
s1324_S_BLO_01_R2.gz,s1324_S_BLO_01,Calidris pugnax,Adult,Male,4,Satellite,Blo,Blood,Jasmine L. Loveland,6/8/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,175.34,3.48,1324,1.98,Total RNA,5,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),41553863,5.5
